authors,published_parsed,summary,arxiv_primary_category,weights,pagenum,refnum,category
"[u'J. Bonca', u'T. Katrasnik', u'S. A. Trugman']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=21, tm_hour=21, tm_min=50, tm_sec=21, tm_wday=4, tm_yday=21, tm_isdst=0)","We explore the properties of the bipolaron in a 1D Holstein-Hubbard model
with dynamical quantum phonons. Using a recently developed variational method
combined with analytical strong coupling calculations, we compute correlation
functions, effective mass, bipolaron isotope effect and the phase diagram. The
two site bipolaron has a significantly reduced mass and isotope effect compared
to the on-site bipolaron, and is bound in the strong coupling regime up to
twice the Hubbard U naively expected. The model can be described in this regime
as an effective t-J-V model with nearest neighbor repulsion. These are the most
accurate bipolaron calculations to date.","{'term': u'cond-mat.str-el', 'scheme': u'http://arxiv.org/schemas/atom'}",0.5,5,26,cond-mat.str-el
"[u'K. Beuermann', u'P. Wheatley', u'G. Ramsay', u'F. Euchner', u'B. T. Gaensicke']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=11, tm_hour=15, tm_min=52, tm_sec=18, tm_wday=1, tm_yday=11, tm_isdst=0)","Low-state spectrophotometry of the short-period polar EF Eridani (Porb=81
min) found the system at V=18.0 with no trace of the companion (Wheatley and
Ramsay 1998). We show that the lack of such spectral features implies that the
companion to the white dwarf in EF Eri has a spectral type later than M9 and is
either a transition object at the brink of hydrogen burning or a brown dwarf.
The optical low state spectrum indicates a temperature of the white dwarf of
Teff=9500+-500K. This is one of the coldest white dwarfs in cataclysmic
variables, implying a cooling age t_cool>=10e9 yrs or accretional heating at a
rate as given by gravitational radiation. The large age of the system excludes
a warm brown dwarf as companion. EF Eri has either just passed through the
period minimum of cataclysmic variable stars or has started mass transfer from
an old brown dwarf secondary.","{'term': u'astro-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.25,5,29,astro-ph
[u'X. Calmet'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=21, tm_hour=11, tm_min=36, tm_sec=16, tm_wday=4, tm_yday=21, tm_isdst=0)","We discuss one-particle inclusive B sub s -> D bar sub s X decays using a QCD
based method already applied to B -> D bar X. A link between the right charm
non-perturbative form factors of the semi-leptonic decays and those of the
non-leptonic decays is established. Our results are compatible with current
experimental knowledge.","{'term': u'hep-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,10,8,hep-ph
[u'Sibaji Raha'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=11, tm_hour=15, tm_min=52, tm_sec=34, tm_wday=1, tm_yday=11, tm_isdst=0)","One of the confident predictions of QCD is that at sufficiently high
temperature and/or density, hadronic matter should undergo a thermodynamic
phase transition to a colour deconfined state of matter - popularly called the
Quark-Gluon Plasma (QGP). In low energy effective theories of Quantum
Chromodynamics (QCD), one usually talks of the chiral transition for which a
well defined order parameter exists. We investigate the dissociation of pions
and kaons in a medium of hot quark matter decsribed by the Nambu - Jona Lasinio
(NJL) model. The decay widths of pion and kaon are found to be large but finite
at temperature much higher than the critical temperature for the chiral (or
deconfinement) transition, the kaon decay width being much larger. Thus pions
and even kaons (with a lower density compared to pions) may coexist with quarks
and gluons at such high temperatures. On the basis of such premises, we
investigate the process of hadronization in quark-gluon plasma with special
emphasis on whether such processes shed any light on acceptable low energy
effective theories of QCD.","{'term': u'hep-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,7,32,hep-ph
[u'Peter Mohr'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=31, tm_hour=8, tm_min=26, tm_sec=34, tm_wday=0, tm_yday=31, tm_isdst=0)","alpha-nucleus potentials are one important ingredient for the understanding
of the nucleosynthesis of heavy neutron-deficient p nuclei in the astrophysical
gamma-process where these p nuclei are produced by a series of (gamma,n),
(gamma,p), and (gamma,alpha) reactions. I present an improved alpha-nucleus
potential at the astrophysically relevant sub-Coulomb energies which is derived
from the analysis of alpha decay data and from a previously established
systematic behavior of double-folding potentials.","{'term': u'nucl-th', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,6,32,nucl-th
[u'Philip D. Mannheim'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=6, tm_hour=13, tm_min=20, tm_sec=6, tm_wday=3, tm_yday=6, tm_isdst=0)","We discuss the circumstances under which gravity might be repulsive rather
than attractive. In particular we show why our standard solar system distance
scale gravitational intuition need not be a reliable guide to the behavior of
gravitational phenomena on altogether larger distance scales such as
cosmological, and argue that in fact gravity actually gets to act repulsively
on such distance scales. With such repulsion a variety of current cosmological
problems (the flatness, horizon, dark matter, universe age, cosmic acceleration
and cosmological constant problems) are then all naturally resolved.","{'term': u'gr-qc', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,31,27,gr-qc
"[u'P. Astone', u""S. D'Antonio"", u'G. Pizzella']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=11, tm_hour=13, tm_min=8, tm_sec=42, tm_wday=1, tm_yday=11, tm_isdst=0)","Using simulated signals and measured noise with the EXPLORER and NAUTILUS
detectors we find the efficiency of signal detection and the signal arrival
time dispersion versus the signal-to-noise ratio.","{'term': u'gr-qc', 'scheme': u'http://arxiv.org/schemas/atom'}",0.5,12,14,gr-qc
[u'Michael T. Anderson'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=7, tm_hour=16, tm_min=25, tm_sec=5, tm_wday=4, tm_yday=7, tm_isdst=0)","A complete characterization is obtained of the asymptotic behavior of
solutions of the static vacuum Einstein equations which have a (pseudo)-compact
horizon or boundary and are complete away from the boundary. It is proved that
the time-symmetric space-like hypersurface has only finitely many ends, each of
which is either asymptotically flat (AF) or parabolic, as in the (static)
Kasner metric. Examples are given with both types of behavior, together with an
extensive discussion and new characterization of Weyl metrics. The asymptotics
result allows one in most circumstances to drop the AF assumption from the
static black hole uniqueness theorems and replace it with just a completeness
assumption.","{'term': u'gr-qc', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,35,43,gr-qc
[u'Harold P. Boas'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=6, tm_hour=20, tm_min=41, tm_sec=29, tm_wday=3, tm_yday=6, tm_isdst=0)","This article discusses questions in one and several complex variables about
the size of the sum of the moduli of the terms of the series expansion of a
bounded holomorphic function. Although the article is partly expository, it
also includes some previously unpublished results with complete proofs.
  The article is based on a lecture at the third Korean several complex
variables symposium held at the Global Analysis Research Center at Seoul
National University in December 1998.","{'term': u'math.CV', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,16,15,math.CV
[u'Igor F. Herbut'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=5, tm_hour=0, tm_min=0, tm_sec=26, tm_wday=2, tm_yday=5, tm_isdst=0)","I obtain the inverse of the correlation length exponent at the
superfluid-Bose glass quantum critical point as a series in small parameter
$\sqrt{d-1}$, with d being the dimensionality of the system, and compute the
first two terms using a novel field-theoretic technique. For d=2 I find $\nu_s
= 0.81$ and $\nu_c = 1.03$, for short-range and Coulomb interactions between
bosons, respectively. When combined with the exact values of the dynamical
critical exponents $z_s = d$ and $z_c = 1$, these results are in quantitative
agreement with the experiments on onset of superfluidity in $^4 He$ in porous
glasses, and on superconductor-insulator transition in homogeneous metallic
films, in support of the dirty-boson theory fot the latter. Higher-order
calculation of the exponents and of the universal conductivity is discussed.","{'term': u'cond-mat.supr-con', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,4,32,cond-mat.supr-con
"[u'Andre Wehner', u'James T. Wheeler']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=27, tm_hour=22, tm_min=44, tm_sec=58, tm_wday=3, tm_yday=27, tm_isdst=0)","We extend 2n-dim biconformal gauge theory by including Lorentz-scalar matter
fields of arbitrary conformal weight. For a massless scalar field of conformal
weight zero in a torsion-free biconformal geometry, the solution is determined
by the Einstein equation on an n-dim submanifold, with the stress-energy tensor
of the scalar field as source. The matter field satisfies the n-dim
Klein-Gordon equation.","{'term': u'hep-th', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,5,10,hep-th
"[u'Stephen Godfrey', u'Pat Kalyniak', u'Basim Kamal', u'Arnd Leike']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=10, tm_hour=20, tm_min=26, tm_sec=40, tm_wday=0, tm_yday=10, tm_isdst=0)","We examine the sensitivity of the process e+e- -> nu nubar gamma to extra
gauge bosons, Z' and W', which arise in various extensions of the standard
model. The process is found to be sensitive to W' masses up to several TeV,
depending on the model, the center of mass energy, and the assumed integrated
luminosity. If extra gauge bosons were discovered first in other experiments,
the process could also be used to measure Z' nu nubar and W' couplings. This
measurement would provide information that could be used to unravel the
underlying theory, complementary to measurements at the Large Hadron Collider.","{'term': u'hep-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.3333333333333333,45,58,hep-ph
"[u'S. Rouziere', u'S. Ravy', u'J. -P. Pouget', u'S. Brazovskii']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=13, tm_hour=14, tm_min=11, tm_sec=57, tm_wday=3, tm_yday=13, tm_isdst=0)","We present an x-ray diffraction study of the Vanadium-doped blue bronze
K0.3(Mo0.972V0.028)O3. At low temperature, we have observed both an intensity
asymmetry of the +-2kF satellite reflections relative to the pure compound, and
a profile asymmetry of each satellite reflections. We show that the profile
asymmetry is due to Friedel oscillation around the V substituant and that the
intensity asymmetry is related to the charge density wave (CDW) pinning. These
two effects, intensity and profile asymmetries, gives for the first time access
to the local properties of CDW in disordered systems, including the pinning and
even the phase shift of FOs.","{'term': u'cond-mat', 'scheme': u'http://arxiv.org/schemas/atom'}",0.3333333333333333,4,19,cond-mat
"[u'E. Schachinger', u'J. P. Carbotte']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=4, tm_hour=10, tm_min=2, tm_sec=39, tm_wday=1, tm_yday=4, tm_isdst=0)","The vortex state thermal and transport properties of the high T_c copper
oxides can be understood in a d-wave gap model and are dominated by the
extended quasiparticle states that exist along the nodal directions in momentum
space. The Doppler shift on these states due to the circulating supercurrents
around the vortex core, introduces new van Hove ridges into the energy
dependent local density of states (LDOS) as a function of distance in the
region between cores. We emphasize the topology of these ridges and the effect
on them of local impurity scattering in Born and unitary limit. We treat
possible orthorhombicity. Effective local scttering rates are also obtaines.","{'term': u'cond-mat.supr-con', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,26,17,cond-mat.supr-con
"[u'Gene Cooperman', u'Luis Anchordoqui', u'Victor Grinberg', u'Thomas McCauley', u'Stephen Reucroft', u'John Swain']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=15, tm_hour=22, tm_min=2, tm_sec=23, tm_wday=5, tm_yday=15, tm_isdst=0)","We describe a scalable parallelization of Geant4 using commodity hardware in
a collaborative effort between the College of Computer Science and the
Department of Physics at Northeastern University. The system consists of a
Beowulf cluster of 32 Pentium II processors with 128 MBytes of memory each,
connected via ATM and fast Ethernet. The bulk of the parallelization is done
using TOP-C (Task Oriented Parallel C), software widely used in the
computational algebra community. TOP-C provides a flexible and powerful
framework for parallel algorithm development, is easy to learn, and is
available at no cost. Its task oriented nature allows one to parallelize legacy
code while hiding the details of interprocess communications. Applications
include fast interactive simulation of computationally intensive processes such
as electromagnetic showers. General results motivate wider applications of
TOP-C to other simulation problems as well as to pattern recognition in high
energy physics.","{'term': u'hep-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.2,4,13,hep-ph
"[u'De-Min Li', u'Hong Yu', u'Qi-Xing Shen']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=13, tm_hour=4, tm_min=4, tm_sec=4, tm_wday=3, tm_yday=13, tm_isdst=0)","Based on a $3\times3$ mass matrix describing the mixing of the scalar states
$f_0(1370)$, $f_0(1500)$ and $f_0(1710)$, the hadronic decays of the three
states are investigated. Taking into account the two possible assumptions
concerning the mass level order of the bare states
$|N>=|u\bar{u}+d\bar{d}>/\sqrt{2}$, $|S>=|s\bar{s}>$ and $|G>=|gg>$ in the
scalar sector, $M_G > M_S > M_N$ and $M_G > M_N > M_S$, we obtain the
glueball-quarkonia content of the three states by solving the unlinear
equations. Some predictions about the decays of the three states in two cases
are presented, which can provide a stringent consistency check of the two
assumptions.","{'term': u'hep-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.5,10,25,hep-ph
"[u'Cheongho Han', u'Seong-Hong Park']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=27, tm_hour=23, tm_min=27, tm_sec=42, tm_wday=3, tm_yday=27, tm_isdst=0)","Detecting colour changes of a gravitational microlensing event induced by the
limb-darkened extended source effect is important to obtain useful information
both about the lens and source star. However, precise measurements of the
colour changes are hampered by blending, which also causes colour changes of
the event. In this paper, we show that although the colour change measured from
the subtracted image by using the recently developed photometric method of the
``difference image analysis'' (DIA) differs from the colour change measured by
using the conventional method based on the extraction of the individual source
stars' point spread functions, the curve of the colour changes (colour curve)
constructed by using the DIA method enables one to obtain the same information
about the lens and source star, but with significantly reduced uncertainties
due to the absence of blending. We investigate the patterns of the DIA colour
curves for both single lens and binary lens events by constructing colour
change maps.","{'term': u'astro-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,8,62,astro-ph
"[u'Martin Petersilka', u'E. K. U. Gross', u'Kieron Burke']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=12, tm_hour=2, tm_min=25, tm_sec=53, tm_wday=2, tm_yday=12, tm_isdst=0)","The role of the exchange-correlation potential and the exchange-correlation
kernel in the calculation of excitation energues from time-dependent density
functional theory is studied. Excitation energies of the He and Be atoms are
calculated, both from the exact ground-state Kohn-Sham potential, and from two
orbital-dependent approximations. These are exact exchange and self-interaction
corrected local density approximation (SIC-LDA), both calculated using the
Krieger-Li-Iafrate (KLI) approximation. For the exchange-correlation kernela,
three adiabatic approximations were tested: The local density approximation,
exact exchange, and SIC-LDA. The choice of the ground-state
exchange-correlation potential has the largest impact on the absolute position
of most excitation energies. In particular, orbital-dependent approximate
potentials result in a uniform shift of the transition energies to the Rydberg
states.","{'term': u'cond-mat.mtrl-sci', 'scheme': u'http://arxiv.org/schemas/atom'}",0.5,28,58,cond-mat.mtrl-sci
"[u'Chia-Ying Liu', u'D. E. MacLaughlin', u'H. G. Lukefahr', u'G. Miller', u'K. Hui', u'M. B. Maple', u'M. C. de Andrade', u'E. J. Freeman']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=7, tm_hour=23, tm_min=7, tm_sec=15, tm_wday=4, tm_yday=7, tm_isdst=0)","Non-Fermi-liquid (NFL) behavior in the f-sublattice-diluted alloy system
U_{1-x}Th_xPd_2Al_3 has been studied using ^{27}Al nuclear magnetic resonance
(NMR). Impurity satellites due to specific U near-neighbor configurations to
^{27}Al sites are clearly resolved in both random and field-aligned powder
samples. The spatial mean Kbar and rms spread delta K of impurity satellite
shifts, which are related to the mean chibar and rms spread delta chi of the
inhomogeneous susceptibility, have been measured in field-aligned powders with
the crystalline c axis both perpendicular and parallel to the external field.
The relatively narrow lines observed at low temperatures suggest that disorder-
induced inhomogeneity of the f-ion--conduction-electron hybridization is not
the cause of NFL behavior in these alloys: at low temperatures the experimental
values of delta chi(T)/chibar(T) are much smaller than required by disorder-
driven models. This is in contrast to results in at least some alloys with
disordered non-f-ion nearest neighbors to f ions (""ligand disorder""), where
disorder-driven theories give good accounts of NFL behavior. Our results
suggest that f-ion dilution does not produce as much inhomogeneity of the
hybridization strength as substitution on ligand sites.","{'term': u'cond-mat.str-el', 'scheme': u'http://arxiv.org/schemas/atom'}",0.14285714285714285,10,25,cond-mat.str-el
"[u'L. Herrera', u'F. M. Paiva', u'N. O. Santos']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=24, tm_hour=17, tm_min=35, tm_sec=27, tm_wday=0, tm_yday=24, tm_isdst=0)","We present calculations of gyroscope precession in spacetimes described by
Levi-Civita and Lewis metrics, under different circumstances. By doing so we
are able to establish a link between the parameters of the metrics and
observable quantities, providing thereby a physical interpretation for those
parameters, without specifying the source of the field.","{'term': u'gr-qc', 'scheme': u'http://arxiv.org/schemas/atom'}",0.5,14,32,gr-qc
"[u'A. Djouadi', u'W. Kilian', u'M. Muhlleitner', u'P. M. Zerwas']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=17, tm_hour=18, tm_min=39, tm_sec=20, tm_wday=0, tm_yday=17, tm_isdst=0)","To establish the Higgs mechanism {\it sui generis} experimentally, the Higgs
self-interaction potential must be reconstructed. This task requires the
measurement of the trilinear and quadrilinear self-couplings, as predicted in
the Standard Model or in supersymmetric theories. The couplings can be probed
in multiple Higgs production at high-luminosity e+e- linear colliders. We
present the theoretical analysis for the production of neutral Higgs-boson
pairs in the relevant channels of double Higgs-strahlung and associated
multiple Higgs production.","{'term': u'hep-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.3333333333333333,21,45,hep-ph
"[u'Michael Freedman', u'Michael Larsen', u'Zhenghan Wang']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=29, tm_hour=2, tm_min=50, tm_sec=54, tm_wday=5, tm_yday=29, tm_isdst=0)","We show that the topological modular functor from Witten-Chern-Simons theory
is universal for quantum computation in the sense a quantum circuit computation
can be efficiently approximated by an intertwining action of a braid on the
functor's state space. A computational model based on Chern-Simons theory at a
fifth root of unity is defined and shown to be polynomially equivalent to the
quantum circuit model. The chief technical advance: the density of the
irreducible sectors of the Jones representation, have topological implications
which will be considered elsewhere.","{'term': u'quant-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.5,23,22,quant-ph
"[u'Guihua Zeng', u'Zhongyang Wang', u'Xinmei Wang']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=13, tm_hour=11, tm_min=59, tm_sec=53, tm_wday=3, tm_yday=13, tm_isdst=0)","Quantum correlation between two particles and among three particles show
nonclassic properties that can be used for providing secure transmission of
information. In this paper, we propose two quantum key distribution schemes for
quantum cryptographic network, which use the correlation properties of two and
three particles. One is implemented by the Greenberger-Horne-Zeilinger state,
and another is implemented by the Bell states. These schemes need a trusted
information center like that in the classic cryptography. The optimal
efficiency of the proposed protocols are higher than that in the previous
schemes.","{'term': u'quant-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.5,12,10,quant-ph
"[u'George Machabeli', u'David Khechinashvili', u'George Melikidze', u'David Shapakidze']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=8, tm_hour=13, tm_min=9, tm_sec=49, tm_wday=5, tm_yday=8, tm_isdst=0)","We present a model for microstructure in pulsar radio emission. We propose
that micropulses result from the alteration of the radio wave generation region
by nearly transverse drift waves propagating across the pulsar magnetic field
and encircling the bundle of the open magnetic field lines. It is demonstrated
that such waves can modify significantly curvature of these dipolar field
lines. This in turn affects strongly fulfillment of the resonance conditions
necessary for the excitation of radio waves. The time-scale of micropulses is
therefore determined by the wavelength of drift waves. Main features of the
microstructure are naturally explained in the frame of this model.","{'term': u'astro-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.3333333333333333,4,28,astro-ph
[u'Barry Brent'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=14, tm_hour=21, tm_min=34, tm_sec=42, tm_wday=4, tm_yday=14, tm_isdst=0)","We give upper bounds on the size of the gap between a non-zero constant term
and the next non-zero Fourier coefficient of an entire level two modular form.
We give upper bounds for the minimum positive integer represented by a level
two even positive-definite quadratic form. These bounds extend partial results
in part I.","{'term': u'math.NT', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,7,4,math.NT
[u'R. D. Blandford'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=28, tm_hour=4, tm_min=29, tm_sec=35, tm_wday=4, tm_yday=28, tm_isdst=0)","Cosmic explosions are observed in many astrophysical environments. They range
in scale from hydromagnetic instabilities in the terrestrial magnetotail and
solar ``nanoflares'' to cosmological gamma ray bursts, supernovae and the
protracted intervals of nuclear activity that produce the giant quasars and
radio galaxies. There are many parallels in the analyses of the explosion sites
that are highlighted at this workshop, specifically stellar coronae, accretion
disks, supernovae and compact objects. In this introductory talk, some general
issues are discussed and some more specific questions relating to the
individual sites are raised.","{'term': u'astro-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,10,0,astro-ph
[u'Ulrich H. E. Hansmann'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=13, tm_hour=14, tm_min=48, tm_sec=39, tm_wday=3, tm_yday=13, tm_isdst=0)","A modified version of stochastic tunneling, a recently introduced global
optimization technique, is introduced as a new generalized-ensemble technique
and tested for a benchmark peptide, Met-enkephalin. It is demonstrated that the
new technique allows to evaluate folding properties of this peptide","{'term': u'physics.comp-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,16,23,physics.comp-ph
[u'Chris Quigg'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=4, tm_hour=21, tm_min=19, tm_sec=2, tm_wday=1, tm_yday=4, tm_isdst=0)","After a brief essay on the current state of particle physics and possible
approaches to the opportunities before us, I summarize the contributions to the
Third Workshop on Physics and Detectors for DAFNE that deal with CP Violation
and Rare Decays.","{'term': u'hep-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,29,98,hep-ph
"[u'Stefano Liberati', u'Bruce A. Bassett', u'Carmen Molina-Paris', u'Matt Visser']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=27, tm_hour=16, tm_min=13, tm_sec=20, tm_wday=3, tm_yday=27, tm_isdst=0)","Variable-Speed-of-Light (VSL) cosmologies are currently attracting much
interest as a possible alternative to cosmological inflation. We discuss the
fundamental geometrodynamic aspects of VSL cosmologies, and provide several
alternative implementations. These implementations provide a large class of VSL
cosmologies that pass the zeroth-order consistency tests of being compatible
with both classical Einstein gravity and low-energy particle physics. While
they solve the ``kinematic'' puzzles as well as inflation does, VSL cosmologies
typically do not solve the flatness problem since in their purest form no
violation of the strong energy condition occurs. Nevertheless, these models are
easy to unify with inflation.","{'term': u'astro-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.3333333333333333,4,11,astro-ph
"[u'M. J. Drinkwater', u'S. Phillipps', u'J. B. Jones', u'M. D. Gregg', u'J. H. Deady', u'J. I. Davies', u'Q. A. Parker', u'E. M. Sadler', u'R. M. Smith']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=31, tm_hour=3, tm_min=4, tm_sec=30, tm_wday=0, tm_yday=31, tm_isdst=0)","The Fornax Spectroscopic Survey will use the Two degree Field spectrograph
(2dF) of the Anglo-Australian Telescope to obtain spectra for a complete sample
of all 14000 objects with 16.5<=Bj<=19.7 in a 12 square degree area centred on
the Fornax Cluster. By selecting all objects---both stars and
galaxies---independent of morphology, we cover a much larger range of surface
brightness and scale size than previous surveys. In this paper we present
results from the first 2dF field. Redshift distributions and velocity
structures are shown for all observed objects in the direction of Fornax,
including Galactic stars, galaxies in and around the Fornax Cluster, and for
the background galaxy population. The velocity data for the stars show the
contributions from the different Galactic components, plus a small tail to high
velocities. We find no galaxies in the foreground to the cluster in our 2dF
field. The Fornax Cluster is clearly defined kinematically. The mean velocity
from the 26 cluster members having reliable redshifts is 1560+/-80 km/s. They
show a velocity dispersion of 380+/-50 km/s. Large-scale structure can be
traced behind the cluster to a redshift beyond z=0.3. Background compact
galaxies and low surface brightness galaxies are found to follow the general
galaxy distribution.","{'term': u'astro-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.125,17,98,astro-ph
"[u'B. O. Kerbikov', u'Yu. A. Simonov']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=24, tm_hour=16, tm_min=21, tm_sec=51, tm_wday=0, tm_yday=24, tm_isdst=0)","Magnetic moments of baryons composed of light and strange quarks are computed
for the first time through the only parameter of the model -- string tension
$\sigma$. Resulting theoretical values differ from the experimental ones
typically by about
  10%.","{'term': u'hep-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,13,47,hep-ph
[u'Guy D. Moore'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=26, tm_hour=19, tm_min=14, tm_sec=40, tm_wday=2, tm_yday=26, tm_isdst=0)","We present an entirely analytic, leading log order determination of the
friction an electroweak bubble wall feels during a first order electroweak
phase transition. The friction is dominated by W bosons, and gives a wall
velocity parametrically ~ alpha_w, and numerically small, ~ .01 -- 0.1
depending on the Higgs mass.","{'term': u'hep-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,8,39,hep-ph
"[u'E. Lippiello', u'M. Zannetti']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=10, tm_hour=14, tm_min=27, tm_sec=14, tm_wday=0, tm_yday=10, tm_isdst=0)","The exact relation between the response function $R(t,t^{\prime})$ and the
two time correlation function $C(t,t^{\prime})$ is derived analytically in the
one dimensional kinetic Ising model subjected to a temperature quench. The
fluctuation dissipation ratio $X(t,t^{\prime})$ is found to depend on time
through $C(t,t^{\prime})$ in the time region where scaling $C(t,t^{\prime}) =
f(t/t^{\prime})$ holds. The crossover from the nontrivial form
$X(C(t,t^{\prime}))$ to $X(t,t^{\prime}) \equiv 1$ takes place as the waiting
time $t_w$ is increased from below to above the equilibration time $t_{eq}$.","{'term': u'cond-mat.stat-mech', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,17,16,cond-mat.stat-mech
"[u'Diego A. R. Dalvit', u'Jacek Dziarmaga', u'Wojciech H. Zurek']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=20, tm_hour=22, tm_min=21, tm_sec=46, tm_wday=3, tm_yday=20, tm_isdst=0)","We consider a quantum superposition of Bose-Einstein condensates in two
immiscible internal states. A decoherence rate for the resulting Schroedinger
cat is calculated and shown to be a significant threat to this macroscopic
quantum superposition of BEC's. An experimental scenario is outlined where the
decoherence rate due to the thermal cloud is dramatically reduced thanks to
trap engineering and ""symmetrization"" of the environment which allow for the
Schroedinger cat to be an approximate pointer states.","{'term': u'cond-mat', 'scheme': u'http://arxiv.org/schemas/atom'}",0.5,12,29,cond-mat
"[u'P. Azaria', u'P. Lecheminant']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=7, tm_hour=10, tm_min=17, tm_sec=46, tm_wday=4, tm_yday=7, tm_isdst=0)","We study a one-dimensional electron gas in a special antiferromagnetic
environment made by two spin-1/2 Heisenberg chains and the one-dimensional
two-channel Kondo-Heisenberg lattice away from half-filling. These models flow
to an intermediate fixed point which belongs to the universality class of
chirally stabilized liquids. Using a Toulouse point approach, the universal
properties of the models are determined as well as the identification of the
leading instabilities. It is shown that these models exhibit a non-Fermi liquid
behavior with strong enhanced composite pairing correlations.","{'term': u'cond-mat.str-el', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,4,25,cond-mat.str-el
[u'Thomas G. Rizzo'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=24, tm_hour=22, tm_min=37, tm_sec=58, tm_wday=0, tm_yday=24, tm_isdst=0)","We review the capability of $e^+e^-$ and $e^-e^-$ colliders to detect the
virtual exchange of Kaluza-Klein towers of gravitons within the large extra
dimension scenario of Arkani-Hamed, Dimopoulos and Dvali and in the localized
gravity model of Randall and Sundrum with non-factorizable geometry.","{'term': u'hep-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,10,19,hep-ph
